[2025-12-21 14:11:11.325] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.336] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.347] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.359] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.370] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.381] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.392] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.403] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.414] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.425] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.437] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.447] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.458] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.470] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.481] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.492] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.503] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.514] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.525] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.536] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.547] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.559] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.570] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.581] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.592] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.603] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.614] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.625] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.637] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.648] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.659] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.671] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.681] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.692] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.703] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.714] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.725] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.736] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.747] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.759] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.769] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.780] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.803] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.815] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.825] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.837] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.847] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.858] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.870] [trace] [:] Rendering triangle.
[2025-12-21 14:11:11.881] [trace] [:] Rendering triangle.
[2025-12-21 14:11:12.015] [trace] [:] Rendering triangle.
[2025-12-21 14:11:12.016] [info] [:] Exited main loop.
[2025-12-21 14:11:12.016] [info] [:] Destroying GLFW window and terminating.
[2025-12-21 14:11:12.098] [info] [:] Clean shutdown complete.
